 `2023`; [Database Systems](https://espinosa-oviedo.com/database-systems/); CPE Lyon; France
 `2023`; [Big Data Analytics](https://espinosa-oviedo.com/big-data-analytics/); CPE Lyon; France
 `2023`; [Big Data Engineering](https://espinosa-oviedo.com/big-data/); CPE Lyon; France
 `2022`; [Database Systems](https://espinosa-oviedo.com/database-systems/); CPE Lyon; France
 `2022`; [Big Data Analytics](https://espinosa-oviedo.com/big-data-analytics/); CPE Lyon; France
 `2017`; [Big Data Analytics & Visualization](http://vargas-solar.com/bigdata-visualisation/); PRACE-BSC; Spain
 `2016`; [Big Data Visualization: Tools & Techniques](https://espinosa-oviedo.com/big-data-visualization); PRACE-BSC; Spain
 `2016`; [Big Data Analytics & Visualization](http://vargas-solar.com/bigdata-visualisation/); UdelaR; Uruguay
 `2015`; [Big Data Analytics](http://vargas-solar.com/big-data-analytics); UdelaR; Uruguay
 `2013`; [Cloud Data Management](http://vargas-solar.com/cloud-data-management/); ENSIMAG; France
 `2013`; [Map-Reduce Fest](http://vargas-solar.com/map-reduce-fest/); ENSIMAG; France
